"ID","date","link","text","score","value"
6501,"9/14/2011","/KimKardashian/status/114137701032280064","Wow my little sis @kendalljenner faced her fears & killed it tonight on the runway!!! #ProudSissy http://twitpic.com/6kzsyk ",-1,"Kendall"
6502,NA,NA,NA,NA,NA
6503,"9/14/2011","/KimKardashian/status/114104627770834944","Such cute pics! RT @Christine_Yzbk: Kim and Kris' Wedding: @RealLamarOdom is such a gentleman! http://twitpic.com/6kxfoz ",1,"Kris"
6503,"9/14/2011","/KimKardashian/status/114104627770834944","Such cute pics! RT @Christine_Yzbk: Kim and Kris' Wedding: @RealLamarOdom is such a gentleman! http://twitpic.com/6kxfoz ",1,"Kim"
6504,"9/14/2011","/KimKardashian/status/114104008578318336","On our way to see @KendallJenner walk in her 1st fashion show! Remember how nervous she was months ago??? I'm so proud of her!",0,"Kendall"
6505,NA,NA,NA,NA,NA
6506,NA,NA,NA,NA,NA
6507,NA,NA,NA,NA,NA
6508,NA,NA,NA,NA,NA
6509,NA,NA,NA,NA,NA
6510,NA,NA,NA,NA,NA
6511,NA,NA,NA,NA,NA
6512,NA,NA,NA,NA,NA
6513,NA,NA,NA,NA,NA
6514,NA,NA,NA,NA,NA
6515,NA,NA,NA,NA,NA
6516,NA,NA,NA,NA,NA
6517,"9/12/2011","/KimKardashian/status/113417742815727616","OMG lol RT @AbbeyDawn: @KimKardashian reacts while watching the NY Spring/Summer 2012 show during Fashion Week http://yfrog.com/h2obcclej ",0,"Kim"
